,date,instrument,mean
0,2020-02-02,camera,86.18044393103447
1,2020-02-03,camera,87.00398378571431
2,2020-02-04,camera,88.15153550000001
3,2020-02-04,magnaprobe,97.04524266520428
4,2020-02-04,mesa,93.60639606396064
5,2020-02-04,pit ruler,95.38888888888889
6,2020-02-04,pulse EKKO Pro multi-polarization 1 GHz GPR,94.39492494422555
7,2020-02-05,camera,88.05162738461539
8,2020-02-05,magnaprobe,89.18086625416468
9,2020-02-05,mesa,85.77978883861236
10,2020-02-05,pit ruler,83.73333333333333
11,2020-02-06,camera,89.65001692857145
12,2020-02-06,magnaprobe,96.70580416482056
13,2020-02-06,mesa,100.89896907216495
14,2020-02-06,pit ruler,98.55555555555556
15,2020-02-07,camera,87.9397517857143
16,2020-02-07,magnaprobe,99.312
17,2020-02-08,camera,86.07914614814815
18,2020-02-08,magnaprobe,91.3486867148839
19,2020-02-08,pit ruler,91.5
20,2020-02-09,camera,87.41149764285714
21,2020-02-09,pit ruler,93.5
22,2020-02-10,camera,88.87885478571427
23,2020-02-10,magnaprobe,94.19618882633175
24,2020-02-10,pit ruler,100.44444444444444
25,2020-02-11,camera,87.44371792857143
26,2020-02-11,magnaprobe,84.58360352014822
27,2020-02-11,pit ruler,88.66666666666667
28,2020-02-12,camera,87.90805340740741
29,2020-02-12,magnaprobe,94.58718626155878
30,2020-02-12,pit ruler,96.14285714285714
31,2020-02-13,camera,85.59238087999998
32,2020-02-14,camera,86.5544399285714
33,2020-02-15,camera,85.60437228571428
34,2020-02-16,camera,85.08757221428573
35,2020-02-17,camera,84.87052971428572
36,2020-02-18,camera,85.12612171428574
37,2020-02-19,camera,84.48130692857144
38,2020-02-20,camera,84.65075292857145
39,2020-02-21,camera,83.86160535714285
40,2020-02-22,camera,83.22709871428572
41,2020-02-23,camera,85.27828892857143
42,2020-02-24,camera,87.27364407142859
43,2020-02-25,camera,93.42904743999999
44,2020-02-26,camera,89.61764735714287
45,2020-02-27,camera,88.4806492142857
46,2020-02-28,camera,86.94755549999999
47,2020-02-29,camera,86.42937335714286
48,2020-03-01,camera,85.9599687142857
49,2020-03-02,camera,91.27150856
50,2020-03-03,camera,87.78699355555555
51,2020-03-04,camera,87.37262578571429
52,2020-03-05,camera,86.40416407142857
53,2020-03-06,camera,85.88263085714286
54,2020-03-07,camera,85.20582
55,2020-03-08,camera,85.4910740714286
56,2020-03-09,camera,86.75155421428573
57,2020-03-10,camera,86.2257860714286
58,2020-03-11,camera,91.60376935714284
59,2020-03-12,camera,94.4668295
60,2020-03-13,camera,96.69427799999998
61,2020-03-14,camera,98.56301364285711
62,2020-03-15,camera,98.87568307142858
